id,name,region,category,address,lon,lat,rating,imageUrl,memo
1973,버뮤다삼각지,용산/이태원/한남,한식,"서울 용산구 한강대로52길 19 1,2층 (한강로2가)",126.9723491,37.53197227,0,https://via.placeholder.com/150,NULL
1974,춘천골숯불닭갈비,구로/관악/동작,한식,"서울 관악구 신림동7길 46 1층 (신림동)",126.92662856,37.48500497,0,https://via.placeholder.com/150,NULL
1975,최성필소금구이,서초,한식,"서울 서초구 서초대로 30 (방배동)",126.9857625,37.48554587,0,https://via.placeholder.com/150,NULL
1976,주,서초,한식,"서울 서초구 동광로19길 16 (방배동)",126.98932531,37.49316968,0,https://via.placeholder.com/150,NULL
1977,"대가방 본점",강남,한식,"서울 강남구 선릉로145길 13 럭스웨이빌딩 1층 (논현동)",127.03855182,37.5211626,0,https://via.placeholder.com/150,NULL
1978,"더 플라자 도원",종로/중구,한식,"서울 중구 소공로 119 더 플라자호텔 3층 (태평로2가)",126.97808241,37.56467072,0,https://via.placeholder.com/150,NULL
1979,진미,신촌/연희,한식,"서울 서대문구 연희맛로 36 1층 (연희동)",126.93102517,37.56794304,0,https://via.placeholder.com/150,NULL
1980,송쉐프,강남,한식,"서울 강남구 도산대로1길 40 (신사동)",127.01961479,37.51930038,0,https://via.placeholder.com/150,NULL
1981,시키카츠,회기/청량리,한식,"서울 동대문구 회기로 110 1층 (회기동)",127.04866983,37.59140062,0,https://via.placeholder.com/150,NULL
1982,얌얌카츠,강동/고덕,한식,"서울 강동구 천호옛14길 22 1층 (성내동)",127.12669409,37.53602152,0,https://via.placeholder.com/150,NULL
1983,"플레이버타운 맛동산",건대/성수/왕십리,한식,"서울 성동구 서울숲4길 18-7 (성수동1가)",127.04294441,37.54695133,0,https://via.placeholder.com/150,NULL
1984,PKM갤러리,종로/중구,카페,"서울 종로구 삼청로7길 40 (삼청동)",126.98007386,37.58409652,0,https://via.placeholder.com/150,NULL
1985,"보난자커피 군자점",건대/성수/왕십리,카페,"서울 광진구 능동로 239 B동 1층 (군자동)",127.07615034,37.55151166,0,https://via.placeholder.com/150,NULL
1986,스몰배치,강남,카페,"서울 강남구 언주로168길 6-7 (신사동)",127.03409704,37.52599694,0,https://via.placeholder.com/150,NULL
1987,세실마루,종로/중구,카페,"서울 중구 세종대로19길 16 (정동)",126.97617342,37.56672282,0,https://via.placeholder.com/150,NULL
1988,데스툴,신촌/연희,카페,"서울 서대문구 연희로25길 98 2층 (연희동)",126.93182964,37.56953647,0,https://via.placeholder.com/150,NULL
1989,라이카시네마,신촌/연희,카페,"서울 서대문구 연희로8길 18 (연희동)",126.93093265,37.56516432,0,https://via.placeholder.com/150,NULL
1990,소마미술관,잠실/송파/강동,카페,"서울 송파구 위례성대로 51 (방이동)",127.11800617,37.51688604,0,https://via.placeholder.com/150,NULL
1991,아라아트센터,종로/중구,카페,"서울 종로구 인사동9길 26 (견지동)",126.98364934,37.57331037,0,https://via.placeholder.com/150,NULL
1992,서울공예박물관,종로/중구,카페,"서울 종로구 율곡로3길 4 (안국동)",126.98329088,37.57663679,0,https://via.placeholder.com/150,NULL
1993,인사동코트,종로/중구,카페,"서울 종로구 인사동길 7 (인사동)",126.98691434,37.57157365,0,https://via.placeholder.com/150,NULL
1994,모베터블루스,구로/관악/동작,한식,"서울 관악구 관악로12길 104 (봉천동)",126.95812436,37.47714912,0,https://via.placeholder.com/150,NULL
1995,문화비축기지,홍대/합정/마포,카페,"서울 마포구 증산로 87 (성산동)",126.89423666,37.57107561,0,https://via.placeholder.com/150,NULL
1996,"창신숭인 채석장전망대",종로/중구,카페,"서울 종로구 낙산5길 51 (창신동)",127.0116038,37.57820513,0,https://via.placeholder.com/150,NULL
1997,"더숲 초소책방",종로/중구,카페,"서울 종로구 인왕산로 172 (옥인동)",126.96427698,37.58595334,0,https://via.placeholder.com/150,NULL
1998,"브라운래빗 서울숲점",건대/성수/왕십리,카페,"서울 성동구 서울숲2길 24 (성수동1가)",127.04136237,37.54684378,0,https://via.placeholder.com/150,NULL
1999,룽키,종로/중구,한식,"서울 중구 퇴계로41길 49 2층 (인현동2가)",126.99545896,37.56402395,0,https://via.placeholder.com/150,NULL
2000,"용용선생 강남역점",강남,한식,"서울 강남구 강남대로96길 17 1층 (역삼동)",127.02839686,37.50013964,0,https://via.placeholder.com/150,NULL
2001,고양이라좋은날,강남,카페,"서울 강남구 강남대로98길 28 5층 (역삼동)",127.02865724,37.50086038,0,https://via.placeholder.com/150,NULL
2002,포셋,신촌/연희,카페,"서울 서대문구 증가로 18 3층 305호 (연희동)",126.93125645,37.57000465,0,https://via.placeholder.com/150,NULL
2003,테라스시,종로/중구,한식,"서울 중구 퇴계로 343-2 1,2층 (을지로7가)",127.00992202,37.56485434,0,https://via.placeholder.com/150,NULL
2004,독,회기/청량리,한식,"서울 동대문구 왕산로 278-1 (전농1동)",127.05143287,37.58523666,0,https://via.placeholder.com/150,NULL
2005,동대문디자인플라자,종로/중구,카페,"서울 중구 을지로 281 (을지로7가)",127.00991101,37.56718431,0,https://via.placeholder.com/150,NULL
2006,"서울시립미술관 서소문본관",종로/중구,카페,"서울 중구 덕수궁길 61 (서소문동)",126.97379054,37.56410762,0,https://via.placeholder.com/150,NULL
2007,"국제갤러리 본관",종로/중구,카페,"서울 종로구 삼청로 54 (소격동)",126.98045969,37.58068362,0,https://via.placeholder.com/150,NULL
2008,무자비,용산/이태원/한남,카페,"서울 용산구 한강대로84길 11-18 (남영동)",126.97319996,37.54445853,0,https://via.placeholder.com/150,NULL
2009,"옵스큐라 성수",건대/성수/왕십리,카페,"서울 성동구 연무장길 101-1 A동 (성수동2가)",127.06053625,37.54123129,0,https://via.placeholder.com/150,NULL
2010,봇봇봇,건대/성수/왕십리,카페,"서울 성동구 아차산로9길 8 1층 (성수동2가)",127.05845694,37.54467415,0,https://via.placeholder.com/150,NULL
2011,갤러리현대,종로/중구,카페,"서울 종로구 삼청로 14 (사간동)",126.97985039,37.57728226,0,https://via.placeholder.com/150,NULL
2012,프롤라,건대/성수/왕십리,카페,"서울 성동구 연무장17길 5 (성수동2가)",127.06094362,37.54126712,0,https://via.placeholder.com/150,NULL
2013,"더 트리니티 갤러리",용산/이태원/한남,카페,"서울 용산구 장문로 36 (동빙고동)",126.99425066,37.52775688,0,https://via.placeholder.com/150,NULL
2014,알부스갤러리,용산/이태원/한남,카페,"서울 용산구 한남대로28길 26 (한남동)",127.00590176,37.53820488,0,https://via.placeholder.com/150,NULL
2015,마롱197,강남,카페,"서울 강남구 테헤란로4길 37 B1F, 2F (역삼동)",127.0308719,37.4961836,0,https://via.placeholder.com/150,NULL
2016,아뜰리에에르메스,강남,카페,"서울 강남구 도산대로45길 7 지하1층 (신사동)",127.03536255,37.52276738,0,https://via.placeholder.com/150,NULL
2017,"타데우스 로팍 서울",용산/이태원/한남,카페,"서울 용산구 독서당로 122-1 2층 (한남동)",127.01285556,37.53684652,0,https://via.placeholder.com/150,NULL
2018,장디자인아트,강남,카페,"서울 강남구 도산대로67길 27 스노우화이트빌딩 (청담동)",127.04425593,37.52586743,0,https://via.placeholder.com/150,NULL
2019,서울숲아트센터,건대/성수/왕십리,카페,"서울 성동구 서울숲2길 32-14 갤러리아포레 G205 (성수동1가)",127.04291426,37.54567553,0,https://via.placeholder.com/150,NULL
2020,하이브인사이트,용산/이태원/한남,카페,"서울 용산구 한강대로 42 하이브 용산 지하1,2층 (한강로3가)",126.96399179,37.52453495,0,https://via.placeholder.com/150,NULL
2021,일우스페이스,종로/중구,카페,"서울 중구 서소문로 117 대한항공 빌딩 1층 (서소문동)",126.97417107,37.5634698,0,https://via.placeholder.com/150,NULL
2022,"갤러리르와흐 1관",용산/이태원/한남,카페,"서울 용산구 두텁바위로37길 25 (후암동)",126.98046827,37.54782248,0,https://via.placeholder.com/150,NULL
2023,CDA갤러리,건대/성수/왕십리,카페,"서울 성동구 아차산로 120 베델플레이스 2층 (성수동2가)",127.05722294,37.54391071,0,https://via.placeholder.com/150,NULL
2024,레이블갤러리,건대/성수/왕십리,카페,"서울 성동구 성수이로26길 31 (성수동2가)",127.06094717,37.54562074,0,https://via.placeholder.com/150,NULL
2025,아루히,영등포/여의도/강서,한식,"서울 영등포구 여의나루로 42 여의도종합상가 2층 221호 (여의도동)",126.92497296,37.52146942,0,https://via.placeholder.com/150,NULL
2026,꾸에바마테라,용산/이태원/한남,카페,"서울 용산구 소월로20길 28-1 1층 (용산동2가)",126.98522157,37.54527154,0,https://via.placeholder.com/150,NULL
